calculate_date,book_match_count,book_not_match_count,payment_match_count,payment_not_match_count,book_mailroom,book_vendor,book_epayment,payment_mailroom,payment_vendor,payment_epayment,aff_company
16/05/13,0,4,13,8,0,0,0,0,0,0,761610
16/05/10,6,58,0,2835,0,0,0,0,0,0,760310
16/05/06,157,48,1507,899,0,0,0,0,0,0,760410
16/06/03,3,41,835,513,0,0,0,0,0,0,760010
16/05/16,0,49,0,270,0,0,0,0,0,0,770110
16/05/17,32,181,1350,5318,0,0,0,0,0,0,760110
16/05/29,14,12,360,2461,0,0,0,0,0,0,760410
16/05/15,2,2,1172,1709,0,0,0,0,0,0,760310
16/05/13,13,200,1212,5324,0,0,0,0,0,0,760110
16/05/10,0,74,0,1618,0,0,0,0,0,0,760010
16/05/11,0,0,13,8,0,0,0,0,0,0,761610
16/05/16,2,2,1493,1388,0,0,0,0,0,0,760310
16/05/17,33,44,810,514,0,0,0,0,0,0,760010
16/05/14,39,149,393,795,0,0,0,0,0,0,760010
16/06/06,13,22,2946,2309,0,0,0,0,0,0,760310
16/05/28,16,8,770,490,0,0,0,0,0,0,760010
16/05/27,71,40,3072,1982,0,0,0,0,0,0,760210
16/05/26,85,76,2009,874,0,0,0,0,0,0,760410
16/05/18,57,43,1922,869,0,0,0,0,0,0,760410
16/05/19,48,37,3083,1943,0,0,0,0,0,0,760210
16/05/09,34,46,1564,1269,0,0,0,0,0,0,760310
16/05/30,14,12,1992,829,0,0,0,0,0,0,760410
16/05/22,24,2,1902,808,0,0,0,0,0,0,760410
16/05/05,150,33,672,715,0,0,0,0,0,0,760010
16/05/04,104,120,1443,1211,0,0,0,0,0,0,760310
16/06/01,0,71,0,385,0,0,0,0,0,0,770110
16/05/07,0,0,13,7,0,0,0,0,0,0,761610
16/06/02,13,3,3099,2222,0,0,0,0,0,0,760210
16/05/11,0,0,0,270,0,0,0,0,0,0,770110
16/05/16,39,149,553,635,0,0,0,0,0,0,760010
16/05/17,18,5,1936,816,0,0,0,0,0,0,760410
16/05/14,1,0,925,1819,0,0,0,0,0,0,760410
16/06/06,51,30,1812,1642,0,0,0,0,0,0,760310
16/05/15,39,149,396,792,0,0,0,0,0,0,760010
16/05/27,45,20,2171,821,0,0,0,0,0,0,760410
16/05/26,0,74,0,263,0,0,0,0,0,0,770110
16/05/18,0,0,13,12,0,0,0,0,0,0,761610
16/05/24,0,0,12,12,0,0,0,0,0,0,761610
16/05/09,284,48,1507,1032,0,0,0,0,0,0,760410
16/05/30,82,44,1704,1553,0,0,0,0,0,0,760310
16/05/08,0,0,0,257,0,0,0,0,0,0,770110
16/05/31,22,14,1789,1586,0,0,0,0,0,0,760310
16/05/21,6,1,746,534,0,0,0,0,0,0,760010
16/4/26,12,12,1600,898,0,0,0,0,0,0,760310
16/05/12,0,30,0,245,0,0,0,0,0,0,770110
16/05/07,34,46,1564,1269,0,0,0,0,0,0,760310
16/06/02,2,62,1112,5249,0,0,0,0,0,0,760110
16/4/25,59,14,1684,912,0,0,0,0,0,0,760310
16/05/11,131,223,1217,5405,0,0,0,0,0,0,760110
16/4/22,41,218,1684,385,0,0,0,0,0,0,760310
16/06/04,0,0,6,14,0,0,0,0,0,0,761610
16/06/05,0,2,0,3,0,0,0,0,0,0,760310
16/05/14,0,3,0,10,0,0,0,0,0,0,700110
16/06/06,0,0,6,14,0,0,0,0,0,0,760310
16/4/14,81,26,1661,318,0,0,0,0,0,0,760310
16/05/28,14,17,1992,829,0,0,0,0,0,0,760410
16/05/26,23,124,1163,5281,0,0,0,0,0,0,760110
16/05/18,12,124,1351,5423,0,0,0,0,0,0,760110
16/05/24,3,1,746,546,0,0,0,0,0,0,760010
16/05/23,6,1,746,534,0,0,0,0,0,0,760010
16/05/22,0,0,0,10,0,0,0,0,0,0,700110
16/05/21,0,15,0,287,0,0,0,0,0,0,770110
16/05/20,0,26,0,271,0,0,0,0,0,0,770110
16/05/05,0,0,15,7,0,0,0,0,0,0,761610
16/05/04,0,0,15,25,0,0,0,0,0,0,761610
16/06/01,89,24,3041,2148,0,0,0,0,0,0,760210
16/05/05,0,1,0,17,0,0,0,0,0,0,700110
16/05/13,24,53,1786,875,0,0,0,0,0,0,760410
16/05/07,0,0,0,257,0,0,0,0,0,0,770110
16/06/02,5,26,1775,908,0,0,0,0,0,0,760410
16/05/06,0,0,13,7,0,0,0,0,0,0,761610
16/06/03,0,70,0,325,0,0,0,0,0,0,770110
16/05/16,0,0,1121,1625,0,0,0,0,0,0,760410
16/05/17,78,30,1862,938,0,0,0,0,0,0,760310
16/4/6,66,34,0,0,0,0,0,0,0,0,760310
16/05/29,0,0,6,13,0,0,0,0,0,0,761610
16/05/15,0,0,13,12,0,0,0,0,0,0,761610
16/4/8,127,51,0,0,0,0,0,0,0,0,760310
16/05/26,64,10,702,611,0,0,0,0,0,0,760010
16/05/18,2,1,812,509,0,0,0,0,0,0,760010
16/05/19,11,41,1199,5166,0,0,0,0,0,0,760110
16/05/23,0,15,0,287,0,0,0,0,0,0,770110
16/05/08,0,1,0,16,0,0,0,0,0,0,700110
16/05/31,0,35,0,354,0,0,0,0,0,0,770110
16/05/21,0,1,12,12,0,0,0,0,0,0,761610
